name,city,state,country,latitude,longitude,first_visit,visits,type,image,note
St. Louis Aquarium,St. Louis,Missouri,United States,38.62776895514769,-90.20754879832467,2026-02-20,1,Aquarium,st-louis-aquarium.PNG,"When I started volunteering at the Seattle Aquarium, I was told that Seattle had one of the best volunteering programs in the country. I definitely still believe this, but the St. Louis Aquarium definitely competes! I was impressed! And I was the only person there, so there were a handful of people staring at me the whole time."
Vancouver Aquarium,Vancouver,British Columbia,Canada,49.300480603812, -123.13087740011878,,2,Aquarium,vancouver-aquarium.PNG,My favorite aquarium!
Point Defiance Zoo and Aquarium,Tacoma,Washington,United States,47.304949662408845, -122.5216637534482,,,Aquarium,point-defiance-zoo-and-aquarium.PNG,YOCS Summit was here!
Seattle Aquarium,Seattle,Washington,United States,47.607458038808204, -122.34303090448938,,,Aquarium,seattle-aquarium.PNG,I used to volunteer here
Museum of History & Industry,Seattle,Washington,United States,47.62733029731781, -122.33660229524621,2021-08-18,1,Museum,,"SLU day was fun!"
Burke Museum,Seattle,Washington,United States,47.6605568624118, -122.31162016030946,2020-08-20,1,Museum,,"I came here for the IB diploma. It was so worth it, we extended parking like three times."
Museum of Pop Culture,Seattle,Washington,United States,47.62143823292052, -122.34821054006869,2019-03-24,5,Museum,,"One of the first hangouts with my future best friend was here. MoPop + Cultural fest + Pacific Science Center + TeenTix. Best $10 you'll ever spend."
Chihuly Garden and Glass,Seattle,Washington,United States,47.62042246992312, -122.35046906031133,2024-12-16,1,Art,chihuly.PNG,"This is one of those things that you never do as a local"
Pacific Science Center,Seattle,Washington,United States,47.62009005167726, -122.35159273147589,,,Museum,pacific-science-center.PNG,I loved coming here as a kid. Still do.
Theo Chocolate,Seattle,Washington,United States,47.651208521047835, -122.35432756630311,,1,Other,theo-chocolate.PNG,"I found out recently that Theo Chocolate merged with another company and no longer make their chocolate in Seattle anymore. That was like, their whole thing to me. I'm not sure if I'll get a Theo chocolate again." 
Salmon Days 50th Anniversary,Issaquah,Washington,United States,47.53912508633559, -122.03846692963128,,,Other,salmon-days-50.PNG,It's fish related so here it is
Cougar Mountain Zoo,Issaquah,Washington,United States,47.5524948558218, -122.08074676650422,,,Zoo,,"Zoo!"
Funko HQ,Everett,Washington,United States,47.980429358938736, -122.20757734332742,2021-07,1,Other,funko-hq.PNG,"There's some cool thrifting in Everett"
Oregon Coast Aquarium,Newport,Oregon,United States,44.61765661844447, -124.04724743570107,2019-10-12,1,Aquarium,oregon-coast-aquarium.PNG,Seattle Aquarium volunteering was lit!
Tillamook Creamery,Tillamook,Oregon,United States,45.484050969747564, -123.84409357020859,2019-10-13,2,Other,tillamook.PNG,Odd inclusion but it's my favorite pin
Multnomah Falls,Corbett,Oregon,United States,45.57631527706397, -122.11591864294019,2021-08-21,1,Nature,multnomah-falls.PNG,"The PNW spoils me"
Powell's City of Books,Portland,Oregon,United States,45.523092390983535, -122.68133817308663,2021-07-22,1,Other,powell-bookstore.PNG,Again this is also one of my favorite pins
Monterey Bay Aquarium,Monterey,California,United States,36.6183,-121.9018,2022-06-12,1,Aquarium,monterey-bay-aquarium.PNG,Visted on the way home from college wow!
California Academy of Sciences,San Francisco,California,United States,37.76985611909822, -122.46610006456342,,2,Museum,california-academy-of-sciences.PNG,Same road trip!
Steinhart Aquarium at CAS,San Francisco,California,United States,37.76961245827944, -122.46613801425627,,2,Aquarium,california-academy-of-sciences.PNG,Two aquariums back to back oops!
Heal the Bay Aquarium,Los Angeles,California,United States,34.01033755323741, -118.49594461785053,2021-12-09,1,Aquarium,heal-the-bay-aquarium.PNG,That one pillow wall trip
Birch Aquarium,San Diego,California,United States,32.865815058714574, -117.25065118226827,2021-09-19,,Aquarium,birch-aquarium.PNG,I loved working here
Shark Reef Aquarium,Las Vegas,Nevada,United States,36.08877123249264, -115.17646791785054,2022-05-29,2,Aquarium,shark-reef-aquarium.PNG,I accidentally had Mackenzie buy me a pin and I never got it back
OdySea Aquarium,Phoenix,Arizona,United States,33.554726535241, -111.87765311785053,2023-08-28,1,Aquarium,odysea-aquarium.PNG,Sick bathroom
Musical Instrument Museum,Phoenix,Arizona,United States,33.667987508719136, -111.97828575468581,2023-08-30,2,Museum,musical-instrument-museum.PNG,I wanted to go here since 2019 or something
L'Aquàrium de Barcelona,Barcelona,,Spain,41.37681422392231, 2.1844104491432677,2024-08-26,1,Aquarium,,European aquarium
Museu Nacional d'Art de Catalunya,Barcelona,,Spain,41.36846402647426, 2.1535807259107638,2024-08-27,1,Art,catalonia-national-museum-of-art.PNG,Sick art
Sagrada Família,Barcelona,,Spain,41.403548573892984, 2.174372200160563,2024-08-25,1,Other,,Crazy place
Park Güell,Barcelona,,Spain,41.414494771296454, 2.15270522591275,2024-08-25,1,Other,park-guell.PNG,Wow!
Casa Batlló,Barcelona,,Spain,41.39169677314369, 2.1649137797496842,2024-08-25,1,Other,casa-batllo.PNG,Cool house
37th America's Cup,Barcelona,,Spain,41.377656648220906, 2.183853832426411,2024-08-26,1,Other,37-americas-cup.PNG,"Lucked out to seeing this!"
Zoo Antwerpen,Antwerp,,Belgium,51.216369653117496, 4.423412651511006,2023-03-31,1,Zoo,zoo-antwerpen.PNG,Most of my pictures were from their fish section
Rijksmuseum,Amsterdam,,Netherlands,52.35998907890499, 4.88518034355834,2023-03-27,1,Art,,I'm so sad they didn't have a pin. Why didn't I buy a keychain?
Stedelijk Museum Amsterdam,Amsterdam,,Netherlands,52.35803072913961, 4.879691024582198,2023-03-27,1,Art,stedelijk.PNG,It was here where I saw an Yves Klien in real life for the first time
Van Gogh Museum,Amsterdam,,Netherlands,52.358074765968475, 4.881218863775848,,0,Art,van-gogh-museum.PNG,"Pin with 0 visits? Square that circle, huh? I went into the gift shop and bought the pin before realizing that it was not the gift shop for the Rijks museum. Then it closed when I was trying to go afterwards. Awkward."
Keukenhof,Lisse,,Netherlands,52.26965106877232, 4.547062366929588,2023-04-03,1,Nature,keukenhof.PNG,What a great end to my trip. I am so glad to have gone.
Pompeii,Pompeii,,Italy,40.75048211848524, 14.491376705202331,2024-08-22,1,Other,,"They said it was a city frozen in time. I doubted them and then I arrived and they were right. I need to trust the internet."
Manila Ocean Park,Manila,,Philippines,14.579308800000003, 120.97248013553363,2023-12-27,1,Aquarium,manila-ocean-park.PNG,First Asian aquarium!
National Museum of Anthropology,Manila,,Philippines,14.585421443957095, 120.98098995667898,2023-12-27,1,Museum,,I loved the Philippines
National Museum of the Philippines,Manila,,Philippines,14.589536346355846, 120.97478352584898,2023-12-27,1,Art,,Crazy how they only had drafts since the big pieces are in Spain.
Philippine Tarsier Sanctuary,Bohol,,Philippines,9.690572457660132, 123.95246265804901,2023-12-22,1,Nature,tarsier-sanctuary.PNG,"Tarsiers!"
National Archaeological Museum,Athens,,Greece,37.989037954071684, 23.732743398868323,2024-08-15,1,Museum,,Should I count it as art? Nah
Acropolis Museum,Athens,,Greece,37.96843963798275, 23.72851647340859,2024-08-14,1,Museum,acropolis-museum.PNG,The ruins below were so cool!
Herakleidon Museum,Athens,,Greece,37.975164675398894, 23.718598373346527,2024-08-16,1,Museum,herakleidon-museum.PNG,Weirdly cool math museum!
Maui Ocean Center,Wailuku,Hawaii,United States,20.792603280637074, -156.51220070116727,,1,Aquarium,,Was here when I was much younger
Waikīkī Aquarium,Honolulu,Hawaii,United States,21.2658,-157.8213,,,Aquarium,waikiki-aquarium.PNG,Early favorite
Bishop Museum,Honolulu,Hawaii,United States,21.332894057174265, -157.87059605415936,,,Museum,,It got real expensive
Hawaii Army Museum,Honolulu,Hawaii,United States,21.278880862084513, -157.83387413895127,2021-04-07,1,Museum,hawaii-army-museum.PNG,Military huh
